ID TERMO,PRATICAS VEDADAS,JUSTIFICATIVA,Unnamed: 3,Unnamed: 4,N_PALAVRAS
314169,11,contrato indevido urgencia no atendinento prestado revisao dos dados contrato irregular,,,11
314169,12,contrato indevido urgencia no atendinento prestado revisao dos dados contrato irregular,,,11
314170,11,Conforme informado desejo revisao dos dados e urgencoa no atendimento taxas abusivas,,,12
314170,12,Conforme informado desejo revisao dos dados e urgencoa no atendimento taxas abusivas,,,12
314171,10,conforme informado desejo revisao dos dados e urgencia no atendimento contrato indevido,,,12
314171,11,conforme informado desejo revisao dos dados e urgencia no atendimento contrato indevido,,,12
314172,10,conforme informado desejo revisao dos dados rgencia contrato indevido taxa irregular,,,11
314172,12,conforme informado desejo revisao dos dados rgencia contrato indevido taxa irregular,,,11
314173,11,conforme informaod desejo revisao dos dados e urgencia no atendimento contrato indevido,,,12
314173,12,conforme informaod desejo revisao dos dados e urgencia no atendimento contrato indevido,,,12
314174,11,conforme inforomado desjeo revisaod os dados e urgencia no atendiemnto contrato indevido,,,12
314174,12,conforme inforomado desjeo revisaod os dados e urgencia no atendiemnto contrato indevido,,,12
314175,10,conforme informasod desejo revisaod os dados e urgencia no atendimento contrato indevido,,,12
314175,11,conforme informasod desejo revisaod os dados e urgencia no atendimento contrato indevido,,,12
314176,10,Não ouve contrato nem autorizacao para esta instituicao desta forma peço ressarcimento  a autorizacao para cartao data 2016  o que ja esta quitado  conforme fixa anual,,,26
314177,12,"NO MÊS DE DEZEMBRO RECEBI UM DESCONTO TOTALMNTE INDEVIDO DO BANCO PAN !  CONTRATO JÁ EST¿QUITADO   NÃO VNHA MAIS RECEBENDO O DESCONTO MUITO MENOS FATURA DO CARTÃO , MAS INFELIZMENTE NO MÊS DE DEZEMBRO TIVE O DESPRAZER DE RECEBER ESSE DESCONTO INDEVIDO E SEM AUTORIZAÇÃO REALIADO EM MEU PAGAMENTO .  UM ABSURDO ESSE PROCEDIMENTO REALIZADO SEM A MINHA AUTORIZAÇÃO   NOS COMPROVANTES EM ANEXO FICA MUITO CLARO E COMPROVADO COMO EU NÃO POSSUIA ESSE DESCONTO E EM DEZEMBRO COMECEI A RECEBER.",,,80
314178,10,"Correspondente financeiro solicitou a autorização de consignação do cartão benefício para uma simulação. No entanto, foi averbado sem que houvesse informações sobre valores de parcelas a ser descontada. Sem que houvesse anuência de contrato. Simplesmente efetuaram a utilização da margem, descontando na folha e sem que houvesse o crédito, supostamente, prometido.  Peço, urgentemente o cancelamento da autorização. Não tenho o menor interesse em contratar qualquer que seja negociação com esta instituição financeira.  Gratidão.",,,73
314178,11,"Correspondente financeiro solicitou a autorização de consignação do cartão benefício para uma simulação. No entanto, foi averbado sem que houvesse informações sobre valores de parcelas a ser descontada. Sem que houvesse anuência de contrato. Simplesmente efetuaram a utilização da margem, descontando na folha e sem que houvesse o crédito, supostamente, prometido.  Peço, urgentemente o cancelamento da autorização. Não tenho o menor interesse em contratar qualquer que seja negociação com esta instituição financeira.  Gratidão.",,,73
314179,10,Levei um golpe de correspondente do Paraná Banco e já mandei todas as provas no site consumidor.gov.br para o banco. Protocolo 2024-01/00008615073 do dia 02/01/2024. Estou aguardando resposta do Paraná Banco que verifique a solicitação e a verificação de fraude. É um absurdo o Banco Paraná compactuar com isso. Quero uma resposta plausível e cancelamento deste empréstimo com o Banco Paraná no qual fui vítima de golpe.,,,67
314180,12,"Venho por meio deste solicitar o boleto para quitação total do meu empréstimo consignado junto a esta instituição, desejo quitar e retirar o desconto de minha folha.",,,27
314181,12,Em março/22 fiz quitação antecipada das parcelas 29 e 30. O banco não informou ao SIGEPE. Foi descontado novamente agora no final do processo.. Solicito devolução.,,,26
314182,12,"BOA TARDE! VENHO ATRAVES DESSE CANAL SOLICITAR O CANCELAMENTO DO DESCONTO DA REFERIDA CONSIGNATARIA EM DESTAQUE, POIS JA LIQUIDEI O MEU CONTRTATO DE EMPRESTIMO COM A MESMA QUE FOI CONTRATADO NO PRAZO DE 96 MESES, E PRA MINHA SUPRESA O DESCONTO CONTINUOU NO MEU CONTRACHQUE. PORTANO SOLICITO A SUA EXCLUSAO E LIBERACAO DE MIMHA MARGEM CONDIGNAVEL.",,,56
314183,10,"Boa tarde; Venho por meio deste solicitar o boleto para quitação total do meu contrato de empréstimo da parcela de 205,05 junto a esta instituição, desejo quitar e retirar o desconto de minha folha.",,,34
314184,10,"Boa tarde; Venho por meio deste solicitar o boleto para a quitação total dos meus contratos das parcelas de 466,22 e 21,74 junto a esta instituição, já tentei contato com a mesma de outras formas porém não obtive sucesso, desejo quitar meus contratos e retirar o desconto de minha folha.",,,50
314185,11,"Contrato Cartão Benefício incluído em 26/12/2023 com a parcela 01/96 prevista para 01/2024, porém já descontada uma parcela em 12/2023, sem que o devido crédito tenha sido realizado até a presente data - 02/01/2024.  Isso após vários e infrutíferos contatos e falsas informações acerca da data da operação.",,,48
314186,10,conforme protocolo aberto 0291319- contrato com taxa abusiva sem possibilidade de refinanciamento,,,12
314186,11,conforme protocolo aberto 0291319- contrato com taxa abusiva sem possibilidade de refinanciamento,,,12
314187,10,desejo revisao dos dados e urgencia no atendimentp protocolo aberto 32901301301,,,11
314187,11,desejo revisao dos dados e urgencia no atendimentp protocolo aberto 32901301301,,,11
314188,11,contrato divergente desejo revisaod as informacoes nele contidas urgencia no atendimento,,,11
314188,12,contrato divergente desejo revisaod as informacoes nele contidas urgencia no atendimento,,,11
314189,11,revisaod oa dados e ugencia no atendimento protocolo 9385025802,,,9
314189,12,revisaod oa dados e ugencia no atendimento protocolo 9385025802,,,9
314190,10,revisaos od adasoo e urgencia no atendimento prestado contrato indevido,,,10
314190,11,revisaos od adasoo e urgencia no atendimento prestado contrato indevido,,,10
314191,11,contrato reenviado protocolo 92183-12093-1 urgencia no atendimento prestado,,,8
314191,12,contrato reenviado protocolo 92183-12093-1 urgencia no atendimento prestado,,,8
314192,12,"Boa noite,  Entrei anteriormente com uma reclamação no GOV BR e com uma demanda no BACEN. A minha margem de cartão foi devolvida o mes de novembro que me foi descontado no contracheque  indevidamente, que recebi em dezembro foi devolvido só no dia 27 de dezembro e mesmo assim, disseram que tinham depositado e tive que provar com a movimentação diária da conta CEF e disseram na mensagem que mandaram que era impossível eu ter o desconto de R$812,00 reais no contracheque de dezembro que receberei em janeiro.    QUERO  que ajudem a eu  receber essa quantia antes de 28 de janeiro, pois eles esperam que a União pague eles, mas eu não tinha que ter sido descontada e para um banco essa quantia deve ser irrisória mas para mim que fiz acordo com eles não é.    Desde já agradeço  Regina Ippolito",,,141
314193,10,"No fim do mês de janeiro de 2019, fui vítima de uma fraude contratual relacionada a empréstimo consignado envolvendo o Banco Pan e uma de suas correspondentes bancárias, onde contratei um crédito de R$ 24.527,72 a ser pago em 62 parcelas no valor de R$ 490,70, o qual deveria obrigatoriamente ser usado para quitar um outro empréstimo que eu já possuía junto à Caixa Econômica Federal, e por conta da redução de juros entre instituições bancárias, me sobraria um troco de aproximadamente R$ 6.500,00, para ser usado por mim da forma que eu desejasse. Acontece que, na ocasião da quitação do empréstimo junto à CEF, o valor não foi o que estava previsto, e o troco que sobrou para mim ficou cerca de R$ 1.700,00 menor do que o combinado. De início, o Banco Pan já colocou a fraude em prática, lançando em meu contracheque, um empréstimo de parcelas no valor de R$ 612,48, que era toda a margem de 30% que eu tinha disponível naquela ocasião, num prazo de 96 meses, totalmente diferente dos valores descritos no contrato que foi assinado por mim. Após notar o erro, questionei a correspondente responsável pela negociação, com relação ao prazo e valor de parcela que apareceu na minha prévia, bem como o valor de troco que foi menor do que o acordado. A mesma logo me informou que o Banco iria corrigir os valores, mas o tempo foi passando e nada foi sendo resolvido. Passados mais de 30 dias da geração da autorização de consignatário utilizada na ocasião, um outro funcionário do correspondente bancário fez contato comigo, dizendo que eu precisaria gerar uma nova autorização de consignatário, desta vez de 5% de cartão consignada, para poder receber o restante que faltou do troco combinado, uma vez que a autorização anterior havia expirado. Após realizar o procedimento, fui surpreendido novamente com mais um desconto em meu contracheque no valor aproximado de R$ 74,00, descrito como amortização de cartão de crédito consignado, o qual não contratei, Não conseguindo solução amigável da questão, fui obrigado primeiramente a redigir um Termo de Reclamação no SIGEPE em 22/06/2019, registrado sob o número 06/2019-00158573, para primeiramente tentar bloquear o desconto indevido de R$ 612,48, o qual foi deferido, Em seguida, entrei com uma ação judicial contra o  Banco Pan e e a respectiva empresa correspondente bancária, para exigir a correção do contrato, e também o pagamento de danos morais, pelo fato do meu nome ter sido incluído nos serviços de proteção ao crédito, por uma dívida que eu não contraí. Posteriormente, os descontos referentes ao suposto cartão consignado foram bloqueados também, por determinação judicial, tendo o ultimo desconto ocorrido no mês 12/2021. Em junho de 2022, foi expedida sentença judicial reconhecendo a fraude, e determinando que o Pan devolva todos os valores de parcelas já descontadas do meu contracheque. Para minha grande surpresa, no contracheque do mês 12/2023, o Banco Pan voltou a utilizar de forma totalmente arbitrária e desrespeitosa, a mesma autorização de 5% gerada ainda no ano de 2019, e me impondo um desconto de R$ 338,24 em meus vencimentos. Dessa forma, venho solicitar o bloqueio desse desconto, e para tanto, anexo os documentos relacionados ao Termo de Reclamação anterior, bem como cópia de Sentença Judicial referente ao caso em questão.",,,545
314194,12,"boa noite! venho atraves desse canal solicitar o cancelamento do desconto da referida consignataria, e  libercao de minha margen consignavel, pois o mesmo contratto ja nao e mais descontado em minha folha de pagamento, conforme contracheque em anexo.",,,38
314195,12,"boa noite! venho atraves desse canal solicitar o cancelamento do desconto da referida consignataria e a liberacao da margem consiganvel, pois o mesmo ja foi liquidado e nao desconta mais em meu contracheque, de acordo com o anexo.",,,38
314196,10,"Hoje ao consultar meu contracheque de mês de dezembro 2023 constatei um desconto de R$978,04 r referente a um suposto Amort CARTAO CONSIGNADO PAM. Informo que não solicitei e nem autorizei em nenhum momento tal desconto.  Assim que descobri o evento liguei para a coordenadoria de administração e pagamento de pessoal (67) 34102774 mas sem sucesso. Me desloquei ate minha unidade gestora mas não teve expediente. Entrei em contato com aa ouvidoria do banco PAM para relatar e questionar o fato e foi gerado o protocolo de n. 111643652. Também providenciei B.O de n. 37/2024, registrado em 02 de janeiro de 2024 ás 14:39hr na delegacia de Pronto Atendimento Comunitário de Dourados . Verifiquei também pelo meu  extrato bancário que o desconto foi realmente efetuado.   Venho portanto solicitar providenciar para o cancelamento e estorno do valor descontado. O cancelamento do  contrato fraudulento 42031201459130030120   Atenciosamente",,,144
314197,10,EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO,,,8
314198,10,EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO,,,8
314199,10,Estou tentando exercer meu direito de portabilidade pela 3ªvez! O que paira o absurdo uma vez que o entendimento do próprio Bacen é contrário a essas diversas recusas. A última justificativa que o banco portador enviou foi que meu CONTRATO NÃO ENCONTRADO para o Banco do Brasil . Inegável tamanho prejuízo que essas retenções indevidas tem causado. Informo ainda que entrei com um novo pedido de portabilidade e busco através do Banco Central concluí-la com êxito.,,,76
314200,10,"eu não autorizei a fazer o desconto em minha folha de pagamento, referente à margem de 35% de consignação, o credito consignado no valor de R$ 3.248,41 (tres mil, duzentos e quarenta e oito reais e quarenta e um centavos).  solicito a exclusão do referido desconto",,,46
314201,10,"Não autorizei, solicito a exclusão do referido desconto.",,,8
314202,11,"Eu não autorizei a fazer o desconto em minha folha de pagamento, referente a margem de de 35%, solicito a exclusão do referido desconto.",,,24
314203,10,"eu não autorizei a fazer o desconto em minha folha de pagamento, solicito a exclusão do referido desconto.",,,18
314204,10,solicito o meu boleto de quitação total do meu emprestimo consignado,,,11
314205,10,solicito o meu boleto de quitação total do meu emprestimo consignado junto a este banco,,,15
314206,10,"eu não autorizei a fazer o desconto em minha folha de pagamento, solicito a exclusão do referido desconto.",,,18
314207,10,"Bom dia,     Não autorizei NENHUM tipo de desconto referente a cartão ou empréstimo junto ao Banco BMG.    Desconheço o motivo de tal desconto.    Peço o cancelamento deste tipo de desconto e o ressarcimento do valor já descontado.    Muito Obrigado.    Carlos Antonio Sell",,,42
314208,11,"Solicito o cancelamento da Rubrica 35007: 1 Amort cartão beneficio, no valor de R$ 887,63, que foi descontado no meu contracheque no mês 12/2023. Informo que o desconto foi indevido, haja vista que não recebi nenhum valor para que houvesse o desconto.  Tentei cancelar a autorização de desconto, alguns dias após a confirmação, porem não foi possível. Neste sentido solicito o cancelamento do mesmo e o RESSARCIMENTO do valor descontado de R$ 887,63.",,,73
314209,12,"Olá. Eu estou tentando abrir a solicitação da carta para quitação do contrato e não estou conseguindo abrir o link da selfie, por favor me ajudem, preciso liquidar o contrato.",,,30
314210,12,"Olá, eu estou tentando novamente pedir o boleto de quitação dos contratos e não estou conseguindo, por favor enviar o boleto de quitação e demonstrativo",,,25
314211,12,"Olá, preciso realizar a quitação total deste contrato. Se possível colocar o vencimento para o dia 16/01",,,17
314212,10,Preciso que me mandem o boleto para quitar meu contrato,,,10
314213,10,preciso que me enviem o boleto para quitar meu empréstimo por favor,,,12
314214,10,Bom dia! preciso que me enviem o boleto para quitar meu empréstimo,,,12
314215,10,preciso que me mandem o boleto para quitação total do meu consignado,,,12
314216,10,preciso do boleto de quitação total do meu empréstimo,,,9
314217,10,preciso que me mandem o boleto para quitação total,,,9
314218,10,preciso que me enviem o boleto para quitação total do meu consignado,,,12
314219,10,preciso que me enviem o boleto para quitação total do meu consignado,,,12
314220,10,preciso que me mandem o boleto de quiração total do meu consignado,,,12
314221,10,preciso que me mandem o boleto de quitação do meu empréstimo,,,11
314222,10,preciso que me mandem o boleto de quitação total do consignado,,,11
314223,10,bom dia! preciso que me mandem o boleto para quitação total do meu consignado,,,14
314224,10,bom dia! preciso que me enviem o boleto para quitação total,,,11
314225,12,"Boa tarde!    Venho por meio desta reclamação, solicitar imediatamente o número de contrato correto da minha parcela que possuo com o banco BRB FINANCEIRA. Estou tentando fazer a portabilidade desse meu contrato mas o banco BRB não informa o saldo.   Obrigado e aguardo retorno.    Nº de CONTRATO: 1100261562",,,48
314226,11,"Gostaria de registrar um golpe de financiamento que realizaram comigo, Jorge Nunes Pereira, CPF: 161.157.592-34, com os dados da empresa FHE POUPEX, CNPJ: 00.643.742/0001-35, mediado pela Larissa Souza, que da Central de Atendimento da FHE POUPEX, telefone (12) 98809-1456, Rua Tutóia, 585, Paraíso - São Paulo (SP), CEP: 04007-003, que juntamente com Mariana Santos, que falou em nome da empresa UNIDAS PROMOTORA DE CRÉDITO, CNPJ: 46.600.799/0001-58, telefone (48) 99207-5180 e telefone (48) 99171-8706, que me apresentaram uma proposta de negociação, em anexo, para liquidar 3(três) contratos, sendo dois do BRB e um do Santander, e retornar um troco de R$ 8.452,00. Para ocorrer esta liquidação, eu teria que também fazer um contrato de R$ 15 mil, em 84 meses, com parcelas de R$ 384,30.Finalizando toda a negociação, ficaria só um contrato de 84 meses, com parcelas de R$ 677,06. Considerando que verifiquei no SOUGOV que a FHE POUPEX estava credenciada, dei a autorização e as agentes realizaram a operação. Após enviarem o link do procedimento, a agente Larissa Souza da FHE POUPEX, me ligou pedindo para confirmar os procedimentos que estavam sendo realizados com ambas. Em seguida, dei a anuência e, meia hora depois, criaram uma Poupança Poupex, variação 96, no valor de R$ 14.974,31 no Banco do Brasil, onde foi resgatado para a Conta-Corrente deste banco.    Em seguida, passaram a enviar mensagens e ligações, informando que teria que terminar a operação de liquidação dos três contratos. Para isto, eu deveria transferir o valor da referida Poupança para a empresa Razão Social: CECCONELLO VENDAS; CNPJ: 52.710.321/0001-83; Banco nº 0403; Agência: 0001; Conta-Corrente: 4386913-2. Usando da boa fé, por não desconfiar de nada até o momento, e considerando que toda a operação informada pelas duas agentes aconteceu normalmente, transferi todo o recurso da Poupança para a empresa indicada. No próximo passo, elas solicitaram que fossem enviados os comprovantes da negociação pelo WhatsApp, comunicando que de 1 até 5 dias úteis, a operação seria concluída e o referido troco seria depositado na minha conta.    Entrei em contato várias vezes, durante este período, e as mesmas informaram que a operação estava sendo finalizada no sistema. A partir daí, comecei a desconfiar que poderia ser um golpe, razão pela qual, somente agora, depois de realizar o Boletim de Ocorrência, estou realizando esta reclamação.    Nesse diapasão, solicitamos, com o devido acatamento, a suspensão do pagamento de maneira imediata dos valores referentes ao pacto firmando junto a FHE POUPEX, CNPJ: 00.643.742/0001-35, em decorrência do vício de legalidade por arte da preposta da instituição aqui citada.    Destacamos que os valores referentes a presente operação terão início na folha de dezembro de 2023, a qual reiteramos a suspensão das parcelas e o cancelamento do contrato. Em anexo, toda a documentação comprobatória e o print das conversas com as agentes.",,,461
314227,11,"Liquidado  E tenho uma autorização que não fiz no cartão benefício, minha margem conta normalmente, mas na hora de intencionar diz que já tenho e preciso com urgência dessa desaverbacão.",,,30
314228,10,"Boa tarde; Venho por meio deste solicitar o boleto de quitação total do meu empréstimo junto a esta instituição, desejo liquidar meu contrato para que o desconto seja retirado de minha folha.",,,32
314229,10,REcebi o crédito e devolvi bem como devolvi o cartão recebido e o banco master ficou de regularizar a situação no sigepe,,,22
314230,10,"Venho através desta informar que em 09.12.23 enviei e-mail requerendo a desfiliação para com a associação Unaslaf, posteriormente também efetuei ligação para a associação informando sobre a solicitação, e conforme consulta à Sepag, pelo Solicorp nº 343470, o prazo para as consignatárias atualizarem os contratos para o mês 12/2023 foi até 10.12.23, portanto para o mês 12.2023 entendo como improcedente o desconto em favor para a consignatária Unaslaf, em anexo encaminho o e-mail e o requerimento assinado encaminhado para a associação em 09.12.23. Atte. Roni Rodrigue de Souza",,,88
314231,10,"boa tarde solicito meu boleto para fazer a quitação total do meu emprestimo  com esta instituição, fico no aguardo de já agradeço",,,22
314232,10,"boa tarde solicito meus boletos de quitação total refevente as minhas duas parcelas de emprestimo com essa instituição parcelas são 182,00 e 247,19 fico no aguardo, de ja agradeço",,,29
314233,10,"boa tarde, solicito meu boleto para quitação referente ao meu empréstimo com essa instituição  fico no aguardo",,,17
314234,10,Boa tarde! preciso do boleto para fazer a quitação total do meu consignado,,,13
314235,12,"Olá, eu estou tentando várias vezes pedir o boleto para quitar essa dívida e não consigo, não consigo falar com atendente no whatsapp, difícil demais",,,25
314236,11,"Tive um desconte menor em relação ao que foi contratado referente ao mês de Dezembro de 2023 sendo que contrato prevê 1.777,26 e o desconto foi de 1.610,31. Em Novembro de 2023 o desconto foi correto com 1.777,26. Como posso resolver e não pagar juros desse caso?",,,47
314237,10,"BOA NOITE . FAVOR RETIRAR A RUBRICA DA MINHA FOLHA, DEVIDO O ESTRAPOLAMENTO DA MARGEM DE 35 PORCENTO",,,18
314238,12,"BOA NOITE, FAVOR RETIRAR A RUBLICA DA MINHA FOLHA. DEVIDO O ESTRAPOLAMENTO DA MARGEM DE 35 PORCENTO",,,17
314239,10,"BOA NOITE , FAVOR RETRAR A RUBLICA DA MINHA FOLHA DEVIDO O COMPROMETIMENTO DA MARGEM DE 35 PORCENTO",,,18
314240,11,"BOA NOITE, FAVOR RETIRAR A RUBLICA DA MINHA FOLHA DEVIDO O COMPROMENTIMENTO DA MARGEM DE 35 PORCENTO",,,17
314241,12,BOA NOITE . FAVOR RETIRAR A RUBRICA DA MINHA FOLHA DEVIDO O COMPROMETIMENTO DA MARGEM DE 35 PORCENTO.,,,18
314242,10,excluir contrato pelo prazo de 120 dias por normativa federal,,,10
314243,10,excluir contrato pelo prazo de 120 dias por normativa federal,,,10
314244,11,"Boa noite, prezados,    Contratei um cartão benefício, com a empresa Futuro Previdência, e não me foi debitado o valor contratado. Abaixo, anexei alguns documentos comprobatórios do não cumprimento do contrato, relativo ao empréstimo contestado. Tenho mais documentos comprobatórios, caso necessário para maiores exclarecimentos.",,,43
314245,10,"Não autorizei ao BMG, a utilização da  minha margem de 5% de cartão de crédito. Não utilizei nenhum cartão do banco e nem recebi nenhum valor referente a empréstimo. Não tenho contrato referente ao mesmo.",,,35
314246,10,"Não autorizei nenhuma consignação referente a minha margem de 5% do cartão de crédito, portanto não tenho contrato, e informo que não recebi e não gastei em cartão, nenhum valor correspondente ao empréstimo cobrado.",,,34
314247,10,Não contratei e nem autorizei nenhum seguro e quero que seja retirado do meu contracheque.,,,15
314248,10,Não contratei  e nem autorizei nenhum seguro para desconto em minha folha. Peço a suspensão do mesmo na minha folha de pagamento.,,,22
314249,12,"Esse contrato foi quitado no dia 01/11/2023. Porém, o mesmo continua sendo descontado.  Ja comuniquei o fato à agência e em todos os canais de comunicação com o banco.  Continuo sem resposta.",,,32
314250,12,"Empresa reteve parcela de 12/2023, mesmo o contrato sendo completamente quitado no início de dezembro e não estornou o valor retido indevidamente até o momento.",,,25
314251,10,Não reconhecimento do desconto implantado no contracheque,,,7
314252,11,EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO EXCLUSÃO,,,7
314253,10,EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO EXCLUSAO,,,10
314254,12,"Solicitado a instituição bancária, boleto pra quitação do valor referente a finalização, o mesmo encaminhou pra uma empresa terceirizada chamada BEM PROMOTORA, que alegou nao ter os dados atualizados e não recebeu como comprovante de residência o boleto do condomínio onde resido há ms de 44anos. Dessa forma solícito o encerramento dos descontos.",,,53
314255,12,"Solícito a retira mediante que o mesmo já foi quitado desde outubro de 2023, permanecendo ainda dentro da margem de consignado.",,,21
314256,10,"Na data de 30/11/2023 fui surpreendica ao constatar por meio da plataforma SOU.GOV que um empréstimo consignado foi registrado em meu nome, sem a minha autorização junto à instituição financeira SANTANDE OLE (CNPJ 90.400.888/0001-42). O valor registrado é de 96 parcelas de R$ 800,00, totalizando R$ 76.800,00. No relatório do SOU.GOV consta que a averbação ocorreu em 30/11/2023 às 09:59:15 com um contrato pleo número 671208393. Solicito a retirada do débido da minha folha de pagamento, haja vista que não realizei a contratação do empréstimo e não recebi o valor contratado indevidamente.",,,92
